Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
432,Mitchell Robinson,26,NYK,C,17,3,290,20.4,0.676,0,0.339,20.8,19.2,20,5.9,2.7,5.8,13.4,11.1,0.8,0.5,1.3,0.221,1.5,1.8,3.3,0.4,,robinmi01
433,Josh Minott,22,MIN,SF,46,0,276,15.5,0.605,0.478,0.211,4.9,13.8,9.4,9.5,2.7,4,10.1,17.2,0.4,0.5,0.9,0.153,-0.7,2.9,2.2,0.3,,minotjo01
434,Kobe Brown,25,LAC,PF,40,0,272,10.8,0.513,0.361,0.097,8,18.9,13.5,11.9,1.3,1.5,13.8,14,0.1,0.4,0.5,0.085,-2.5,0.4,-2.1,0,,brownko01
435,Dru Smith,27,MIA,SG,14,1,268,13.3,0.656,0.492,0.197,5,9.8,7.4,12,3.9,2.1,20.4,13.8,0.2,0.4,0.7,0.118,-1.3,3.4,2.1,0.3,,smithdr01
436,Isaiah Wong,24,CHO,SG,20,0,265,10.9,0.5,0.314,0.324,5.5,7.4,6.4,16.5,2,0,13,22.1,-0.1,0.1,0.1,0.01,-2.9,-1,-4,-0.1,,wongis01
437,Marvin Bagley III,25,2TM,PF,31,2,265,18.4,0.56,0.179,0.33,15,18.2,16.6,6.5,1.6,2.7,9,20.9,0.4,0.2,0.6,0.108,0.4,-1.6,-1.2,0.1,,baglema01
437,Marvin Bagley III,25,WAS,C,19,1,166,19.9,0.573,0.141,0.324,16.8,18.3,17.5,7.1,2,2.7,11.9,23.3,0.2,0.1,0.3,0.089,1,-2,-1,0,,baglema01
437,Marvin Bagley III,25,MEM,PF,12,1,99,15.7,0.534,0.257,0.343,11.9,18,15,5.3,0.9,2.8,2.4,16.8,0.2,0.1,0.3,0.14,-0.5,-1,-1.5,0,,baglema01
438,Oscar Tshiebwe,25,UTA,C,14,1,255,21,0.64,0,0.443,19.6,31.9,25.8,5.3,2.4,0.4,10.7,15.3,0.7,0.3,1,0.182,0.6,-2,-1.4,0,,tshieos01
439,Drew Timme,24,BRK,PF,9,2,254,11,0.5,0.343,0.157,7.3,22.5,14.5,13.1,0.8,0.4,12.1,21.3,-0.1,0.2,0,0.009,-3.9,-2.8,-6.7,-0.3,,timmedr01
440,Marcus Bagley,23,PHI,SF,10,4,253,11.8,0.456,0.464,0.145,9.9,21.9,15.7,5.5,1.8,4.7,8.7,13.8,0,0.2,0.2,0.045,-3.4,-0.9,-4.3,-0.1,,baglema02
441,Cam Spencer,24,MEM,SG,25,1,252,14.2,0.587,0.634,0.232,5.1,7.5,6.3,16.9,1.7,0.4,6.2,15.4,0.6,0.2,0.8,0.16,0.3,0.2,0.5,0.2,,spencca01
442,Kevin Love,36,MIA,PF,23,9,251,16.2,0.488,0.583,0.2,9.8,31.4,20.7,13.1,3,1.5,10.1,24.6,-0.1,0.5,0.4,0.083,-0.3,0.7,0.4,0.2,,loveke01
443,Pat Spencer,28,GSW,PG,39,0,250,12.6,0.455,0.218,0.149,6.3,13.7,9.9,28.1,2.7,1.1,14.3,21.2,-0.1,0.4,0.3,0.055,-3,1.4,-1.6,0,,spencpa01
444,JT Thor,22,2TM,PF,20,0,249,10,0.517,0.356,0.373,8.4,11.8,10.1,3.3,1.5,3.2,11.6,13.1,0,0.2,0.2,0.033,-4.3,-1.1,-5.4,-0.2,,thorjt01
444,JT Thor,22,CLE,PF,9,0,42,19.1,0.756,0.4,0.533,8,7.5,7.7,3.4,2.3,6.4,24.5,24.8,0,0.1,0.1,0.132,-1.2,1.3,0,0,,thorjt01
444,JT Thor,22,WAS,PF,11,0,207,8.2,0.429,0.341,0.318,8.5,12.6,10.5,3.3,1.4,2.6,5.6,10.8,0,0.1,0.1,0.013,-4.9,-1.6,-6.5,-0.2,,thorjt01
445,Branden Carlson,25,OKC,C,32,0,246,17.6,0.581,0.68,0.186,7.6,15.8,11.8,7.5,1,8.6,6.3,19.3,0.4,0.5,0.9,0.177,0.5,0.8,1.3,0.2,,carlsbr01
446,Dariq Whitehead,20,BRK,SF,20,0,246,9.4,0.58,0.771,0.052,1.8,12.1,6.7,7.8,1.2,0.4,13.3,20.1,-0.1,0.1,0.1,0.01,-1.5,-2.2,-3.7,-0.1,,whiteda01
447,Johnny Davis,22,WAS,SG,34,0,242,10.2,0.473,0.372,0.192,4.3,12.1,8.2,6.6,2.9,2.2,7.6,15.9,-0.1,0.2,0.1,0.01,-3.5,0.7,-2.8,0,,davisjo06
448,Jaylen Martin,21,2TM,SF,16,0,239,9.1,0.497,0.311,0.135,4.8,14.4,9.6,10.3,1.8,0,13.3,15.9,-0.1,0.1,0,-0.004,-4.5,-1.9,-6.3,-0.3,,martija02
448,Jaylen Martin,21,BRK,SF,3,0,5,12.8,0.75,0.5,0,0,0,0,0,0,0,0,17.5,0,0,0,0.112,4,-0.6,3.4,0,,martija02
448,Jaylen Martin,21,WAS,SF,13,0,234,9,0.491,0.306,0.139,4.9,14.7,9.8,10.5,1.8,0,13.6,15.9,-0.1,0.1,0,-0.007,-4.6,-1.9,-6.5,-0.3,,martija02
449,Bones Hyland,24,2TM,PG,24,0,239,16,0.576,0.695,0.22,2.4,9.3,5.9,20.1,3.7,1.7,16.2,28.2,0.1,0.4,0.5,0.095,0.9,1.8,2.7,0.3,,hylanbo01
449,Bones Hyland,24,LAC,PG,20,0,222,16.4,0.569,0.696,0.226,2.6,9.6,6.1,19.2,4,1.8,16,29.6,0,0.4,0.4,0.09,1.2,1.9,3.1,0.3,,hylanbo01
449,Bones Hyland,24,MIN,PG,4,0,17,11.1,0.833,0.667,0,0,6.4,3.3,32.2,0,0,25,10.2,0,0,0.1,0.165,-3.3,0.1,-3.2,0,,hylanbo01
450,Xavier Tillman Sr.,26,BOS,C,33,2,231,2.4,0.31,0.604,0.075,4.7,15.5,10.1,3.8,2.4,2,20.4,13.1,-0.7,0.4,-0.3,-0.057,-8.4,0.3,-8.1,-0.4,,tillmxa01
451,Garrett Temple,38,TOR,SG,28,0,227,8.5,0.406,0.467,0.2,4.2,9.7,6.8,17.4,3.6,0.8,13.3,13.9,-0.1,0.3,0.2,0.033,-5.7,2.1,-3.6,-0.1,,templga01
452,Jared Rhoden,25,2TM,SG,14,2,227,16.4,0.602,0.448,0.287,6.5,13.5,9.9,10.5,2.1,0.8,8.4,19.7,0.4,0.2,0.6,0.131,-0.5,0,-0.5,0.1,,rhodeja01
452,Jared Rhoden,25,CHO,SG,4,0,12,5.4,0.25,0.25,0,17.4,18.1,17.8,26.5,4.1,0,11.1,31.9,-0.1,0,-0.1,-0.229,-7.4,-1.2,-8.6,0,,rhodeja01
